app_name,rating,rank,bigram,count
Facebook%20Messenger,2.0,2,see friends,500
Facebook%20Messenger,2.0,3,send messages,500
Facebook%20Messenger,2.0,4,friends family,500
Facebook%20Messenger,2.0,5,end end,400
Facebook%20Messenger,2.0,6,messages already,400
Facebook%20Messenger,2.0,7,sometimes send,400
Facebook%20Messenger,2.0,8,receive messages,400
Facebook%20Messenger,2.0,9,session expired,400
Facebook%20Messenger,2.0,10,already read,400
Facebook%20Messenger,3.0,1,active status,1100
Facebook%20Messenger,3.0,2,video call,600
Facebook%20Messenger,3.0,3,chat heads,500
Facebook%20Messenger,3.0,4,keeps crashing,400
Facebook%20Messenger,3.0,5,doesn work,400
Facebook%20Messenger,3.0,6,good quality,400
Facebook%20Messenger,3.0,7,see active,400
Facebook%20Messenger,3.0,8,last seen,300
Facebook%20Messenger,3.0,9,pretty good,300
Facebook%20Messenger,3.0,10,video quality,300
Facebook%20Messenger,4.0,1,good quality,1000
Facebook%20Messenger,4.0,2,family friends,900
Facebook%20Messenger,4.0,3,good call,700
Facebook%20Messenger,4.0,4,call good,600
Facebook%20Messenger,4.0,5,good service,500
Facebook%20Messenger,4.0,6,pretty good,500
Facebook%20Messenger,4.0,7,video call,500
Facebook%20Messenger,4.0,8,good enough,500
Facebook%20Messenger,4.0,9,chat bubbles,500
Facebook%20Messenger,4.0,10,overall good,400
Facebook%20Messenger,5.0,1,video call,5300
Facebook%20Messenger,5.0,2,good quality,3700
Facebook%20Messenger,5.0,3,friends family,2900
Facebook%20Messenger,5.0,4,good service,1900
Facebook%20Messenger,5.0,5,family friends,1800
Facebook%20Messenger,5.0,6,good good,1500
Facebook%20Messenger,5.0,7,keep touch,1500
Facebook%20Messenger,5.0,8,video calls,1400
Facebook%20Messenger,5.0,9,good job,1300
Facebook%20Messenger,5.0,10,great quality,1300
Flipboard,,1,show less,1000
Flipboard,,2,less like,700
Flipboard,,3,view web,500
Flipboard,,4,news articles,400
Flipboard,,5,news feed,400
Flipboard,,6,doesn work,400
Flipboard,,7,reading articles,400
Flipboard,,8,left wing,300
Flipboard,,9,original review,300
Flipboard,,10,real news,300
Flipboard,1.0,1,fake news,4100
Flipboard,1.0,2,doesn work,3500
Flipboard,1.0,3,read article,3100
Flipboard,1.0,4,read articles,2600
Flipboard,1.0,5,news articles,2600
Flipboard,1.0,6,click bait,2400
Flipboard,1.0,7,left wing,2300
Flipboard,1.0,8,pop ups,2300
Flipboard,1.0,9,reading article,2200
Flipboard,1.0,10,news sources,2200
Flipboard,2.0,1,reading article,1700
Flipboard,2.0,2,pop ups,1500
Flipboard,2.0,3,read articles,1400
Flipboard,2.0,4,view web,1100
Flipboard,2.0,5,news articles,1100
Flipboard,2.0,6,every article,1000
Flipboard,2.0,7,keeps crashing,1000
Flipboard,2.0,8,doesn work,1000
Flipboard,2.0,9,uninstalled reinstalled,900
Flipboard,2.0,10,click bait,900
Flipboard,3.0,1,good news,1000
Flipboard,3.0,2,reading article,900
Flipboard,3.0,3,read articles,800
Flipboard,3.0,4,keeps crashing,700
Flipboard,3.0,5,pop ups,600
Flipboard,3.0,6,reading news,600
Flipboard,3.0,7,middle reading,600
Flipboard,3.0,8,click bait,600
Flipboard,3.0,9,news feed,600
Flipboard,3.0,10,best news,500
Flipboard,4.0,1,good news,1300
Flipboard,4.0,2,great news,1200
Flipboard,4.0,3,dark mode,1100
Flipboard,4.0,4,pretty good,800
Flipboard,4.0,5,news sources,800
Flipboard,4.0,6,read articles,700
Flipboard,4.0,7,wide variety,600
Flipboard,4.0,8,news stories,600
Flipboard,4.0,9,news source,600
Flipboard,4.0,10,good information,600
Flipboard,5.0,1,best news,7100
Flipboard,5.0,2,great news,5600
Flipboard,5.0,3,around world,2600
Flipboard,5.0,4,news articles,2300
Flipboard,5.0,5,good news,2200
Flipboard,5.0,6,news sources,1900
Flipboard,5.0,7,news information,1800
Flipboard,5.0,8,date news,1700
Flipboard,5.0,9,source news,1600
Flipboard,5.0,10,interesting articles,1600
Instagram,,1,features best,200
Instagram,,2,dear team,200
Instagram,,3,ban love,200
Instagram,,4,request ban,200
Instagram,,5,course people,100
Instagram,,6,awesome devs,100
Instagram,,7,threads going,100
Instagram,,8,features like,100
Instagram,,9,whether good,100
Instagram,,10,twist thinks,100
Instagram,1.0,1,without reason,5200
Instagram,1.0,2,worst ever,2000
Instagram,1.0,3,community guidelines,1900
Instagram,1.0,4,new layout,1700
Instagram,1.0,5,incorrect password,1700
Instagram,1.0,6,soon possible,1600
Instagram,1.0,7,suspended without,1500
Instagram,1.0,8,new ui,1400
Instagram,1.0,9,disabled without,1400
Instagram,1.0,10,hate new,1400
Instagram,2.0,1,new updates,600
Instagram,2.0,2,soon possible,400
Instagram,2.0,3,ad breaks,300
Instagram,2.0,4,tamil songs,300
Instagram,2.0,5,activity bubbles,300
Instagram,2.0,6,left side,300
Instagram,2.0,7,everytime m,300
Instagram,2.0,8,recent moved,200
Instagram,2.0,9,repost button,200
Instagram,2.0,10,messages top,200
Instagram,3.0,1,social media,400
Instagram,3.0,2,suspended reason,400
Instagram,3.0,3,go live,300
